epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,223.05,1.11572,2.73276,1.54596,0.66006,0.61244,0.66431,0.45401,1.0806,2.6298,1.58474,0.000333146,0.000333146,0.000333146
2,449.642,1.16093,2.06588,1.57103,0.71702,0.62318,0.68707,0.47638,1.14033,1.89887,1.60016,0.000653283,0.000653283,0.000653283
3,682.625,1.1822,1.86897,1.56641,0.70672,0.70041,0.73223,0.51855,1.07507,1.91306,1.54995,0.00096022,0.00096022,0.00096022
4,902.778,1.15554,1.7008,1.54315,0.74338,0.70113,0.71777,0.50504,1.10492,1.53349,1.62013,0.0009406,0.0009406,0.0009406
5,1119.41,1.11978,1.54751,1.51667,0.64669,0.74956,0.72653,0.51765,1.06212,1.4018,1.49306,0.0009208,0.0009208,0.0009208
6,1344.42,1.096,1.43395,1.48988,0.8313,0.73874,0.79246,0.56738,1.01799,1.29539,1.48215,0.000901,0.000901,0.000901
7,1571.63,1.06456,1.37273,1.46628,0.80694,0.77068,0.78112,0.55009,1.08513,1.18191,1.54267,0.0008812,0.0008812,0.0008812
8,1801.31,1.03918,1.31661,1.44839,0.82349,0.78505,0.82587,0.6054,0.95356,1.04295,1.43829,0.0008614,0.0008614,0.0008614
9,2024.27,1.01248,1.24656,1.42994,0.85069,0.81049,0.84672,0.59849,1.00393,0.9417,1.42119,0.0008416,0.0008416,0.0008416
10,2246.35,0.99297,1.18377,1.40657,0.84307,0.81565,0.84183,0.61719,0.9406,0.94857,1.39187,0.0008218,0.0008218,0.0008218
11,2469.6,0.98495,1.15828,1.40626,0.84209,0.80756,0.85398,0.62916,0.95139,0.87281,1.41448,0.000802,0.000802,0.000802
12,2690.71,0.96088,1.11569,1.38587,0.90169,0.81078,0.87219,0.66161,0.89711,0.7817,1.36051,0.0007822,0.0007822,0.0007822
13,2880.79,0.94906,1.08323,1.38209,0.88729,0.813,0.86791,0.63865,0.92022,0.84551,1.38791,0.0007624,0.0007624,0.0007624
14,3099.3,0.94281,1.04486,1.38205,0.8458,0.80248,0.87456,0.6427,0.9468,0.83296,1.3916,0.0007426,0.0007426,0.0007426
