epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
17,1475.53,0.8512,0.82537,1.1689,0.92301,0.89397,0.93366,0.72845,0.79058,0.5704,1.0635,0.0006832,0.0006832,0.0006832
18,1561.74,0.84572,0.82476,1.1791,0.92791,0.89213,0.93952,0.75083,0.75689,0.53763,1.03882,0.0006634,0.0006634,0.0006634
19,1645.44,0.82509,0.80319,1.15976,0.91944,0.87797,0.93969,0.7483,0.7575,0.55506,1.03597,0.0006436,0.0006436,0.0006436
20,1732.2,0.81899,0.76694,1.15881,0.92075,0.87093,0.92748,0.7279,0.77416,0.56809,1.06468,0.0006238,0.0006238,0.0006238
21,1819.31,0.81424,0.75632,1.14972,0.92794,0.89281,0.95023,0.74052,0.78706,0.53473,1.0589,0.000604,0.000604,0.000604
22,1904.78,0.8047,0.75487,1.15265,0.9248,0.90983,0.93839,0.74,0.76779,0.54205,1.04803,0.0005842,0.0005842,0.0005842
23,2075.93,0.80768,0.73432,1.15203,0.90138,0.88996,0.94051,0.7493,0.7364,0.53237,1.03207,0.0005644,0.0005644,0.0005644
24,2167.14,0.76717,0.70987,1.12936,0.93248,0.89066,0.95265,0.76088,0.73078,0.4907,1.03083,0.0005446,0.0005446,0.0005446
25,2258.24,0.77863,0.70963,1.13544,0.92883,0.8896,0.94879,0.76124,0.72625,0.49524,1.02007,0.0005248,0.0005248,0.0005248
26,2349.75,0.78593,0.72677,1.12981,0.92812,0.89751,0.945,0.76232,0.72165,0.48931,1.01761,0.000505,0.000505,0.000505
27,2466.37,0.77365,0.69011,1.135,0.89653,0.92878,0.94286,0.746,0.73842,0.50034,1.02685,0.0004852,0.0004852,0.0004852
28,2583.95,0.77244,0.68244,1.1323,0.90542,0.87878,0.94206,0.76304,0.69568,0.50417,1.00366,0.0004654,0.0004654,0.0004654
29,2703.65,0.74242,0.65673,1.11237,0.92065,0.91524,0.94682,0.76922,0.69631,0.47859,1.00708,0.0004456,0.0004456,0.0004456
30,2810.83,0.74394,0.65483,1.11597,0.92234,0.92173,0.95153,0.76153,0.71615,0.4855,1.01562,0.0004258,0.0004258,0.0004258
31,2896.73,0.74989,0.65294,1.11153,0.94605,0.91013,0.95596,0.76549,0.70897,0.47529,1.01226,0.000406,0.000406,0.000406
32,2981.13,0.72958,0.64085,1.10748,0.937,0.9241,0.95141,0.75479,0.72297,0.4635,1.02013,0.0003862,0.0003862,0.0003862
33,3064.46,0.72651,0.62715,1.10346,0.91871,0.93454,0.96213,0.78084,0.68862,0.45738,1.00834,0.0003664,0.0003664,0.0003664
34,3159.84,0.71455,0.60153,1.10018,0.92366,0.91881,0.95034,0.77429,0.67772,0.4477,0.99569,0.0003466,0.0003466,0.0003466
35,3264.73,0.71725,0.60385,1.09937,0.95534,0.92508,0.9528,0.77512,0.69469,0.46323,0.99696,0.0003268,0.0003268,0.0003268
36,3396.26,0.72071,0.60319,1.10016,0.92164,0.94344,0.96457,0.77717,0.69578,0.44059,0.99937,0.000307,0.000307,0.000307
37,3525.21,0.7065,0.59406,1.09317,0.934,0.92898,0.95549,0.79006,0.68075,0.44206,0.99511,0.0002872,0.0002872,0.0002872
38,3635.93,0.70527,0.57478,1.0945,0.93515,0.93185,0.96175,0.79318,0.6707,0.42394,0.98956,0.0002674,0.0002674,0.0002674
39,3724.81,0.6886,0.58224,1.07855,0.93769,0.92677,0.95948,0.7898,0.67115,0.42888,0.99217,0.0002476,0.0002476,0.0002476
40,3809.21,0.68571,0.5632,1.07995,0.94518,0.92862,0.96048,0.78994,0.66016,0.41462,0.98119,0.0002278,0.0002278,0.0002278
41,3891.76,0.59931,0.41536,1.0234,0.93162,0.92676,0.96606,0.78371,0.67202,0.43408,0.99259,0.000208,0.000208,0.000208
42,3975.57,0.57262,0.3941,1.01143,0.95575,0.92621,0.96939,0.78969,0.67092,0.44178,0.98765,0.0001882,0.0001882,0.0001882
43,4054.82,0.56339,0.37568,1.00566,0.94072,0.95019,0.97108,0.79855,0.66117,0.41013,0.98777,0.0001684,0.0001684,0.0001684
44,4135.77,0.55739,0.37643,1.00174,0.96639,0.93548,0.97447,0.79528,0.66728,0.40762,0.99364,0.0001486,0.0001486,0.0001486
45,4219.43,0.55512,0.361,1.00148,0.9478,0.9478,0.97337,0.79797,0.65538,0.40294,0.99001,0.0001288,0.0001288,0.0001288
46,4301.15,0.53463,0.35107,0.98617,0.94774,0.9503,0.97192,0.79926,0.65895,0.38883,0.99209,0.000109,0.000109,0.000109
47,4383.2,0.53266,0.35266,0.99458,0.95408,0.93991,0.97331,0.78918,0.6668,0.40152,0.99856,8.92e-05,8.92e-05,8.92e-05
48,4468.3,0.52109,0.33788,0.97727,0.94521,0.94201,0.96773,0.7983,0.64496,0.3919,0.98639,6.94e-05,6.94e-05,6.94e-05
49,4548.8,0.51569,0.33701,0.97854,0.94923,0.94264,0.96835,0.79676,0.64898,0.39083,0.98869,4.96e-05,4.96e-05,4.96e-05
50,4628.51,0.51008,0.32837,0.97243,0.94548,0.94246,0.96683,0.80236,0.64689,0.38811,0.98877,2.98e-05,2.98e-05,2.98e-05
