epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,91.9744,1.03301,2.27645,1.3226,0.70223,0.59656,0.68721,0.50902,0.92707,1.44517,1.22405,0.000332958,0.000332958,0.000332958
2,179.443,1.07602,1.6858,1.32771,0.82808,0.70482,0.77323,0.56399,1.01207,1.38208,1.26076,0.000653099,0.000653099,0.000653099
3,267.6,1.08467,1.56492,1.32564,0.85199,0.73431,0.81739,0.61326,0.9239,1.14489,1.1717,0.000960039,0.000960039,0.000960039
4,353.323,1.07679,1.4473,1.32132,0.69002,0.77536,0.80136,0.59259,1.01948,1.08386,1.24274,0.0009406,0.0009406,0.0009406
5,442.889,1.05763,1.33641,1.30403,0.83146,0.78034,0.85459,0.62049,0.95941,0.97701,1.19641,0.0009208,0.0009208,0.0009208
6,530.393,1.00777,1.21481,1.27579,0.84702,0.75212,0.85136,0.63668,0.87007,0.97362,1.12563,0.000901,0.000901,0.000901
7,617.58,0.97575,1.15277,1.25728,0.83465,0.81628,0.86929,0.66545,0.85843,0.80762,1.12947,0.0008812,0.0008812,0.0008812
8,703.486,0.96772,1.09031,1.24306,0.82798,0.82448,0.8625,0.64813,0.86129,0.80264,1.09965,0.0008614,0.0008614,0.0008614
9,788.28,0.95084,1.06104,1.23849,0.90899,0.83513,0.90283,0.68625,0.84889,0.7687,1.09652,0.0008416,0.0008416,0.0008416
10,876.565,0.9215,0.99619,1.21739,0.88284,0.83566,0.90035,0.6847,0.82502,0.71547,1.09236,0.0008218,0.0008218,0.0008218
11,962.293,0.90135,0.98281,1.20728,0.86186,0.86243,0.89707,0.68235,0.87481,0.72341,1.11805,0.000802,0.000802,0.000802
12,1045.91,0.90821,0.95604,1.21097,0.87585,0.81888,0.87487,0.64635,0.91369,0.75351,1.14698,0.0007822,0.0007822,0.0007822
13,1132.65,0.87515,0.91482,1.19806,0.8743,0.87058,0.9056,0.7148,0.79548,0.65636,1.06931,0.0007624,0.0007624,0.0007624
14,1219.05,0.88001,0.8995,1.20552,0.87415,0.86712,0.90718,0.69471,0.81824,0.66142,1.09037,0.0007426,0.0007426,0.0007426
15,1303.98,0.87559,0.87598,1.19223,0.90559,0.85883,0.92343,0.71272,0.81472,0.6324,1.08032,0.0007228,0.0007228,0.0007228
16,1389.9,0.84765,0.85446,1.17865,0.90469,0.86655,0.92057,0.71426,0.81236,0.62307,1.06832,0.000703,0.000703,0.000703
