epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,94.8094,1.03301,2.27645,1.3226,0.70223,0.59656,0.68721,0.50902,0.92707,1.44517,1.22405,0.000332958,0.000332958,0.000332958
2,184.76,1.03954,1.62001,1.31417,0.83498,0.75479,0.82011,0.61627,0.94225,1.06579,1.2203,0.000534366,0.000534366,0.000534366
3,273.213,1.00539,1.4201,1.27581,0.89498,0.76618,0.85332,0.64375,0.86267,0.97459,1.12278,0.000603773,0.000603773,0.000603773
4,358.409,0.95965,1.23123,1.24805,0.86432,0.82268,0.87631,0.65717,0.86721,0.84732,1.12772,0.000406,0.000406,0.000406
5,443.171,0.88715,1.08437,1.20221,0.89407,0.88536,0.92002,0.72643,0.76815,0.70842,1.0617,0.000208,0.000208,0.000208
