epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,68.9755,0.87267,1.69928,1.17858,0.78415,0.80146,0.81292,0.58454,0.8938,1.26114,1.04884,0.000554699,0.000554699,0.000554699
2,119.926,0.92296,1.36735,1.22935,0.81554,0.75708,0.83466,0.62378,0.86253,1.209,1.05645,0.000890513,0.000890513,0.000890513
3,170.665,0.87475,1.19621,1.1837,0.9138,0.84925,0.87196,0.6473,0.87136,1.11861,1.10206,0.00100628,0.00100628,0.00100628
4,219.729,0.83528,1.0339,1.1409,0.92079,0.83031,0.89342,0.70697,0.72939,0.97502,0.97065,0.000676802,0.000676802,0.000676802
5,269.553,0.75418,0.9147,1.10073,0.87701,0.89449,0.91203,0.75594,0.65674,0.71602,0.93523,0.000346736,0.000346736,0.000346736
